Inning_No,Match_date ,Season,Opponent,Venue,Runs ,Balls ,Fours,Sixes,Strike_Rate,Batting_Position,Dismissal ,Result ,Boundary_Runs,Boundary_percentage
1,08-04-22,2022,Punjab Kings,Mumbai,35,30,4,1,116.67,3,Caught,Win,22,62.86
2,11-04-22,2022,Sunrisers Hyderabad,Mumbai,11,9,2,0,122.22,3,Caught,Loss,8,72.73
3,30-04-22,2022,Royal Challengers Bengaluru,Mumbai,20,14,2,0,142.86,3,Caught,Win,8,40
4,03-05-22,2022,Punjab Kings,Mumbai,65,50,5,1,130,3,Not Out,Loss,26,40
5,06-05-22,2022,Mumbai Indians,Mumbai,14,11,1,1,127.27,4,Hit Wicket,Loss,10,71.43
6,31-03-23,2023,Chennai Super Kings,Ahmedabad,22,17,3,0,129.41,3,Caught,Win,12,54.55
7,04-04-23,2023,Delhi Capitals,Delhi,62,48,4,2,129.17,3,Not Out,Win,28,45.16
8,09-04-23,2023, Kolkata Knight Riders,Ahmedabad,53,38,3,2,139.47,3,Caught,Loss,24,45.28
9,13-04-23,2023,Punjab Kings,Mohali,19,20,2,0,95,3,Caught,Win,8,42.11
10,16-04-23,2023,Rajasthan Royals,Ahmedabad,20,19,2,0,105.26,3,Run out,Loss,8,40
11,15-05-23,2023,Sunrisers Hyderabad,Ahmedabad,47,36,6,1,130.56,3,Caught,Win,30,63.83
12,26-05-23,2023,Mumbai Indians,Ahmedabad,43,31,5,1,138.71,3,Retd.Out,Win,26,60.47
13,29-05-23,2023,Chennai Super Kings,Ahmedabad,96,47,8,6,204.26,3,LBW,Loss,68,70.83
14,24-03-24,2024,Mumbai Indians,Ahmedabad,45,39,3,1,115.38,3,Caught,Win,18,40
15,26-03-24,2024,Chennai Super Kings,Chennai,37,31,3,0,119.35,3,Caught,Loss,12,32.43
16,31-03-24,2024,Sunrisers Hyderabad,Ahmedabad,45,36,4,1,125,3,Caught,Win,22,48.89
17,04-04-24,2024,Punjab Kings,Ahmedabad,33,19,6,0,173.68,4,Caught,Loss,24,72.73
18,07-04-24,2024,Lucknow Super Giants,Lucknow,31,23,4,0,134.78,1,Caught,Loss,16,51.61
19,10-04-24,2024,Rajasthan Royals,Jaipur,35,29,3,1,120.69,1,LBW,Win,18,51.43
20,17-04-24,2024,Delhi Capitals,Ahmedabad,12,9,2,0,133.33,3,Run out,Loss,8,66.67
21,21-04-24,2024,Punjab Kings,Mullanpur,31,34,3,0,91.18,3,Bowled,Win,12,38.71
22,24-04-24,2024,Delhi Capitals,Delhi,65,39,7,2,166.67,3,Caught,Loss,40,61.54
23,28-04-24,2024,Royal Challengers Bengaluru,Ahmedabad,84,49,8,4,171.43,3,Not Out,Loss,56,66.67
